sample,category,channel,channel_name,branch,base_prob,ablated_prob,prob_drop,ablated_pred
text_idx190_text_news,text,0,rgb_b,mobilenet_rgb,0.9999973773956299,0.9999986886978149,-1.3113021850585938e-06,text
text_idx190_text_news,text,1,rgb_g,mobilenet_rgb,0.9999973773956299,0.9999940395355225,3.337860107421875e-06,text
text_idx190_text_news,text,2,rgb_r,mobilenet_rgb,0.9999973773956299,0.9999971389770508,2.384185791015625e-07,text
text_idx190_text_news,text,3,adaptive,adaptive_cnn,0.9999973773956299,0.9939951300621033,0.006002247333526611,text
text_idx190_text_news,text,4,hsv_s,adaptive_cnn,0.9999973773956299,0.01821167953312397,0.9817856978625059,table
text_idx190_text_news,text,5,morph_opening_hough,adaptive_cnn,0.9999973773956299,0.9857536554336548,0.014243721961975098,text
text_idx188_text_news,text,0,rgb_b,mobilenet_rgb,0.9999954700469971,0.9999964237213135,-9.5367431640625e-07,text
text_idx188_text_news,text,1,rgb_g,mobilenet_rgb,0.9999954700469971,0.9999867677688599,8.702278137207031e-06,text
text_idx188_text_news,text,2,rgb_r,mobilenet_rgb,0.9999954700469971,0.9999830722808838,1.239776611328125e-05,text
text_idx188_text_news,text,3,adaptive,adaptive_cnn,0.9999954700469971,0.9953562617301941,0.0046392083168029785,text
text_idx188_text_news,text,4,hsv_s,adaptive_cnn,0.9999954700469971,0.021894043311476707,0.9781014267355204,table
text_idx188_text_news,text,5,morph_opening_hough,adaptive_cnn,0.9999954700469971,0.972366988658905,0.02762848138809204,text
text_idx101_text_news,text,0,rgb_b,mobilenet_rgb,0.9999947547912598,0.9999868869781494,7.867813110351562e-06,text
text_idx101_text_news,text,1,rgb_g,mobilenet_rgb,0.9999947547912598,0.9999744892120361,2.0265579223632812e-05,text
text_idx101_text_news,text,2,rgb_r,mobilenet_rgb,0.9999947547912598,0.9999656677246094,2.9087066650390625e-05,text
text_idx101_text_news,text,3,adaptive,adaptive_cnn,0.9999947547912598,0.9973382353782654,0.0026565194129943848,text
text_idx101_text_news,text,4,hsv_s,adaptive_cnn,0.9999947547912598,0.06801830232143402,0.9319764524698257,table
text_idx101_text_news,text,5,morph_opening_hough,adaptive_cnn,0.9999947547912598,0.9687128663063049,0.031281888484954834,text
table_idx427_table_report,table,0,rgb_b,mobilenet_rgb,0.9998282194137573,0.9982424974441528,0.0015857219696044922,table
table_idx427_table_report,table,1,rgb_g,mobilenet_rgb,0.9998282194137573,0.9659604430198669,0.03386777639389038,table
table_idx427_table_report,table,2,rgb_r,mobilenet_rgb,0.9998282194137573,0.9985484480857849,0.0012797713279724121,table
table_idx427_table_report,table,3,adaptive,adaptive_cnn,0.9998282194137573,0.02152653969824314,0.9783016797155142,text
table_idx427_table_report,table,4,hsv_s,adaptive_cnn,0.9998282194137573,0.9976104497909546,0.0022177696228027344,table
table_idx427_table_report,table,5,morph_opening_hough,adaptive_cnn,0.9998282194137573,0.9999691247940063,-0.00014090538024902344,table
table_idx572_table_report,table,0,rgb_b,mobilenet_rgb,0.9997724890708923,0.9989367127418518,0.0008357763290405273,table
table_idx572_table_report,table,1,rgb_g,mobilenet_rgb,0.9997724890708923,0.975850522518158,0.023921966552734375,table
table_idx572_table_report,table,2,rgb_r,mobilenet_rgb,0.9997724890708923,0.9976831674575806,0.0020893216133117676,table
table_idx572_table_report,table,3,adaptive,adaptive_cnn,0.9997724890708923,0.01460998598486185,0.9851625030860305,text
table_idx572_table_report,table,4,hsv_s,adaptive_cnn,0.9997724890708923,0.9967480897903442,0.0030243992805480957,table
table_idx572_table_report,table,5,morph_opening_hough,adaptive_cnn,0.9997724890708923,0.9999525547027588,-0.00018006563186645508,table
table_idx581_table_report,table,0,rgb_b,mobilenet_rgb,0.999616265296936,0.9992401599884033,0.00037610530853271484,table
table_idx581_table_report,table,1,rgb_g,mobilenet_rgb,0.999616265296936,0.9962731599807739,0.0033431053161621094,table
table_idx581_table_report,table,2,rgb_r,mobilenet_rgb,0.999616265296936,0.9965645670890808,0.0030516982078552246,table
table_idx581_table_report,table,3,adaptive,adaptive_cnn,0.999616265296936,0.2714194655418396,0.7281967997550964,image
table_idx581_table_report,table,4,hsv_s,adaptive_cnn,0.999616265296936,0.9989013671875,0.0007148981094360352,table
table_idx581_table_report,table,5,morph_opening_hough,adaptive_cnn,0.999616265296936,0.9999228715896606,-0.0003066062927246094,table
image_idx483_image_report,image,0,rgb_b,mobilenet_rgb,0.9995043277740479,0.9953181147575378,0.00418621301651001,image
image_idx483_image_report,image,1,rgb_g,mobilenet_rgb,0.9995043277740479,0.9858356714248657,0.013668656349182129,image
image_idx483_image_report,image,2,rgb_r,mobilenet_rgb,0.9995043277740479,0.9989062547683716,0.0005980730056762695,image
image_idx483_image_report,image,3,adaptive,adaptive_cnn,0.9995043277740479,0.9982684850692749,0.0012358427047729492,image
image_idx483_image_report,image,4,hsv_s,adaptive_cnn,0.9995043277740479,0.9991660118103027,0.0003383159637451172,image
image_idx483_image_report,image,5,morph_opening_hough,adaptive_cnn,0.9995043277740479,0.9994164705276489,8.785724639892578e-05,image
image_idx529_image_report,image,0,rgb_b,mobilenet_rgb,0.9994239807128906,0.9964473843574524,0.0029765963554382324,image
image_idx529_image_report,image,1,rgb_g,mobilenet_rgb,0.9994239807128906,0.9957152009010315,0.003708779811859131,image
image_idx529_image_report,image,2,rgb_r,mobilenet_rgb,0.9994239807128906,0.9994252920150757,-1.3113021850585938e-06,image
image_idx529_image_report,image,3,adaptive,adaptive_cnn,0.9994239807128906,0.9989639520645142,0.00046002864837646484,image
image_idx529_image_report,image,4,hsv_s,adaptive_cnn,0.9994239807128906,0.9990021586418152,0.00042182207107543945,image
image_idx529_image_report,image,5,morph_opening_hough,adaptive_cnn,0.9994239807128906,0.9989474415779114,0.00047653913497924805,image
image_idx357_image_report,image,0,rgb_b,mobilenet_rgb,0.999306321144104,0.9986178874969482,0.0006884336471557617,image
image_idx357_image_report,image,1,rgb_g,mobilenet_rgb,0.999306321144104,0.9945130348205566,0.004793286323547363,image
image_idx357_image_report,image,2,rgb_r,mobilenet_rgb,0.999306321144104,0.998681366443634,0.0006249547004699707,image
image_idx357_image_report,image,3,adaptive,adaptive_cnn,0.999306321144104,0.9982560276985168,0.0010502934455871582,image
image_idx357_image_report,image,4,hsv_s,adaptive_cnn,0.999306321144104,0.9990955591201782,0.00021076202392578125,image
image_idx357_image_report,image,5,morph_opening_hough,adaptive_cnn,0.999306321144104,0.9993048906326294,1.430511474609375e-06,image
